time,open,high,low,close,Volume,Volume MA,%K,%D,RSI
1279411200,0.05941,0.08585,0.05941,0.08584,75.01,NaN,NaN,NaN,NaN
1279497600,0.0909,0.09307,0.07890538,0.0808,574,NaN,NaN,NaN,NaN
1279584000,0.08181,0.08181,0.07426,0.07473333,262,NaN,NaN,NaN,NaN
1279670400,0.07425,0.07921,0.06634,0.07921,575,NaN,NaN,NaN,NaN
1279756800,0.07921,0.0808,0.05446,0.054955,2160,NaN,NaN,NaN,NaN
1279843200,0.0505,0.06767,0.0505,0.06241388,2402.5,NaN,NaN,NaN,NaN
1279929600,0.06161,0.06161,0.05081677,0.05454,496.32,NaN,NaN,NaN,NaN
1280016000,0.05545,0.05941,0.0505,0.0505,1551.48,NaN,NaN,NaN,NaN
1280102400,0.05,0.056,0.05,0.056,877,NaN,NaN,NaN,NaN
1280188800,0.0544875,0.05976298,0.0544875,0.05976298,3373.69,NaN,NaN,NaN,NaN
1280275200,0.06,0.06147387,0.054,0.0589,4390.29,NaN,NaN,NaN,NaN
1280361600,0.0597,0.0699,0.0571,0.06986257,8058.49,NaN,NaN,NaN,NaN
1280448000,0.0698,0.0698,0.06,0.06346087,3020.85,NaN,NaN,NaN,NaN
1280534400,0.06016324,0.06889,0.056,0.06785,4022.25,NaN,41.444160668678876,NaN,NaN
1280620800,0.06011837,0.065,0.06,0.0611,2601,NaN,25.77199907127931,NaN,37.35696868146368
1280707200,0.06262195,0.0633,0.06010568,0.06010568,3599,NaN,31.768877711411513,32.9950124837899,36.95254486293799
1280793600,0.06,0.065,0.059,0.06,9821.46,NaN,32.46753246753246,30.00280308340776,36.90681257287369
1280880000,0.0622959,0.0623,0.05728249,0.05728249,3494,NaN,23.644448051948043,29.29361941029734,35.68384955073887
1280966400,0.0581,0.061,0.058,0.061,5034.07,NaN,55.276381909547716,37.129454143009404,38.6774423436547
1281052800,0.06233333,0.0624,0.0607,0.06215714,1395,2889.1704999999997,61.09115577889445,46.67066191346341,39.619522102155926
1281139200,0.0608,0.0622,0.059,0.059,2619,3016.37,45.2261306532663,53.86455611390283,37.90834539886327
1281225600,0.059,0.0609,0.059,0.0609,2201,3097.72,54.77386934673367,53.697051926298144,39.599073118616744
1281312000,0.05952739,0.07176087,0.05952739,0.0707,13631.09,3766.1744999999996,94.02692548281698,64.67564182760565,47.53451777523543
1281398400,0.068,0.0709,0.06684251,0.07,1310.39,3802.9439999999995,90.08567710928577,79.62882397961214,47.058934686486566
1281484800,0.06,0.07541,0.06,0.067,14061.18,4398.003,56.67181865018033,80.26147374742769,44.98181197385704
1281571200,0.068,0.07,0.06395362,0.07,2062.31,4380.9935,72.12776919113861,72.9617549835349,47.47837701240353
1281657600,0.06529438,0.06791389,0.0645,0.0645,3591.77,4535.766,43.791859866048426,57.53048256912245,43.57450821170774
1281744000,0.0655,0.06904602,0.06499996,0.067,4404.2,4678.402,53.60642471028841,56.50868458915847,45.75773652761715
1281830400,0.067,0.067,0.065,0.06529,4462.866,4857.695299999999,44.173248283961776,47.19051095343286,44.489721857328384
1281916800,0.06319,0.0679,0.062275,0.0655,10731.468,5225.584199999999,45.331708546844006,47.703793847031385,44.692421162325005
1282003200,0.0655,0.07638,0.06243,0.07,13185.74,5665.356699999999,66.59250342060302,52.03248675046959,48.9908053084802
1282089600,0.07111775,0.0733,0.067,0.068,2953.975,5410.13095,54.40696409140371,55.44372535295023,47.233790027641305
1282176000,0.06789998,0.06789998,0.0667,0.0667,741.115,5296.1442,44.303797468354404,55.10108832678703,46.07702946712898
1282262400,0.0667,0.0667,0.065,0.0655,4199.747,5305.01905,37.399309551208304,45.370023703655455,44.981935481445134
1282348800,0.065496,0.06670549,0.0644,0.0664,10443.86,5697.16205,42.5776754890679,41.42692750287686,46.01817565532417
1282435200,0.06470633,0.066,0.0612,0.066,18648.972,6449.66065,38.407166605054066,39.46138388177675,45.60703622208245
1282521600,0.06525,0.06689,0.06409,0.06491,4297.49,6173.46215,29.97557997557995,36.9868073565673,44.44182983250645
1282608000,0.06491,0.0665,0.06491,0.065,6711.757,6334.35,30.52503052503054,32.96925903522151,44.567761258356676
1282694400,0.06636748,0.06646416,0.0641,0.0648,4228.88,6294.0905,23.71541501976283,28.072008506791096,44.32730852453385
1282780800,0.064804,0.06579835,0.064,0.064,3870.01,6417.840999999999,18.445322793148897,24.22858944598075,43.320499657067806
1282867200,0.064,0.065,0.063,0.065,9009.973,6737.38965,25.032938076416357,22.397891963109355,45.002076275951815
1282953600,0.06479855,0.06495301,0.0645,0.06459825,6174.005,6936.039900000001,22.386363636363615,21.954874835309614,44.4317483741602
1283040000,0.0647,0.0647,0.064,0.064,3173.402,6413.155500000001,18.445322793148897,21.954874835309614,43.5467163509103
1283126400,0.0646,0.06511738,0.03211,0.06497,34193.138,8057.2929,74.22633837813417,38.35267493588222,45.4442092001762
1283212800,0.06411,0.06456398,0.06,0.06,14886.907,8098.579250000001,67.71060937120659,53.46075684749655,38.33452426177797
1283299200,0.062,0.06227781,0.05961,0.06227781,7164.722,8353.69985,84.29121782130083,75.4093885235472,42.75486907369511
1283385600,0.061,0.06313602,0.0601,0.06313602,8150.73,8581.647850000003,89.20649798734904,80.40277505995215,44.37280740062513
1283472000,0.061,0.063,0.06085,0.06085,892,8406.037850000002,82.63369752731454,85.3771377786548,41.04502392063749
1283558400,0.06125,0.06238,0.0612,0.06238,3301,8347.944550000002,87.03277745830935,86.29099099099096,44.06839546723888
1283644800,0.06245,0.06316285,0.06076317,0.06163975,8459.24,8234.333150000002,84.90439907993098,84.85695802185161,42.92151600495249
1283731200,0.0627,0.0627,0.0616,0.0616,910,7620.546150000002,85.75167199767374,85.89628284530467,42.85701657551099
1283817600,0.0616,0.062,0.0603,0.06114682,3457.192,7645.707000000002,84.52199093210255,85.05935400323574,42.08062417045822
1283904000,0.061,0.06126644,0.061,0.06126644,2345.41,7725.921750000003,86.54754536805748,85.60706943261124,42.377360171826005
1283990400,0.0611,0.0624,0.06109,0.06111,1733.502,7602.609500000003,87.85913938034463,86.30955856016821,42.07377084658049
1284076800,0.061,0.0618,0.06014,0.0618,4939.788,7327.405900000003,89.94958097249767,88.1187552402999,43.98002785215202
1284163200,0.0619,0.06448834,0.0619,0.06366,7749.14,6782.414300000004,95.58468439482319,91.13113491588848,48.86511191404603
1284249600,0.06162289,0.0621,0.0615,0.0615,793.88,6607.2338000000045,89.04069332373547,91.5249862303521,44.060043607289906
1284336000,0.06199063,0.064,0.0608,0.06218242,10076.336,6775.462750000004,51.92632994077483,78.85056921977782,45.871021618059864
1284422400,0.062,0.175,0.0610051,0.06199,14014.808,7264.7591500000035,2.0625704133807092,47.67653122596366,45.42447773604025
1284508800,0.0625,0.0625,0.0604,0.0604,3651.85,7253.851150000004,0.2610966057441268,18.083332319966544,41.803161465599935
1284595200,0.06187479,0.06187479,0.06187479,0.06187479,730,6839.852500000004,1.5103517325439666,1.2780062505562622,46.095731717374186
1284681600,0.06089,0.0609,0.05979769,0.05979769,7262,6894.252250000003,0,0.590482779429359,41.45768641939999
1284768000,0.059,0.061,0.05812714,0.061,7092.609,7090.2126000000035,2.4581070404198186,1.3228195909879228,44.912847757068874
1284854400,0.06091,0.0627,0.06,0.0627,12852.17,6023.164200000003,3.9126791284135645,2.1235953896111224,49.4553081417512
1284940800,0.062025,0.06338125,0.062,0.0621,14307.94,5994.215850000003,3.3993007444157706,3.2566956377497127,47.95238070591245
1285027200,0.06309958,0.0633,0.0623,0.06265,5735.946,5922.777050000003,3.869897596413741,3.7272924897476862,49.46833067443652
1285113600,0.06230075,0.06230075,0.06148457,0.06200081,11560.4,6093.260550000004,3.314430741234537,3.5278763606880106,47.702225921542826
1285200000,0.0621,0.06289997,0.0615932,0.06231,15505.33,6823.927050000003,3.578983178814993,3.5877705054877516,48.64266354889689
1285286400,0.06209,0.0623723,0.06209,0.0622,684.375,6693.095800000003,3.4848638084153993,3.459425909488304,48.309824569094125
1285372800,0.062215,0.06236,0.061724,0.06202,2152.5,6377.758800000002,3.3308502932160624,3.464899093482146,47.73423710895461
1285459200,0.06204,0.06220953,0.06186,0.06202171,12058.125,6935.165050000001,3.3323134216104577,3.382675841080635,47.740607242117285
1285545600,0.06200536,0.06228,0.06195,0.06220093,10752.245,7299.917700000001,3.4856595449105985,3.3829410865790344,48.44975542301984
1285632000,0.06196,0.0621705,0.06171,0.06190867,7086.153,7536.95485,71.9727984377944,26.263590468105146,47.32202944222157
1285718400,0.062,0.062,0.06151504,0.06190043,23475.642,8624.06185,71.81596883201911,49.09147560490803,47.28860908772992
1285804800,0.06174,0.0619,0.06158559,0.0619,7917.025,8772.9237,71.80778476278563,71.8655173441997,47.286732309653075
1285891200,0.06189,0.062,0.06189,0.06197,1717.45,8471.339199999999,73.14007510310971,72.25460956597148,47.65096533976403
1285977600,0.06188,0.06189,0.06129,0.0614,13059.737,9084.632049999998,41.40480591497241,62.11755526028924,44.92861556763433
1286064000,0.06139993,0.0614,0.06100278,0.06111,7172.633,8939.446899999999,4.507939978221215,39.68427366543444,43.56492140779382
1286150400,0.06136169,0.06191,0.06084,0.06129983,33995.369,9938.47495,18.692276422764305,21.53500743865264,44.74714654361638
1286236800,0.06139937,0.06299152,0.06094774,0.0614,27526.613,11132.213099999999,26.028110359188187,16.409442253391234,45.39716214246771
1286323200,0.06148946,0.06349147,0.06148946,0.06281139,33433.302,12767.3782,74.35083180273583,39.690406194896106,53.667913606371286
1286409600,0.06309837,0.067,0.06281185,0.067,43692.981,14588.927249999999,100,66.79298072064132,68.78107388531235
1286496000,0.067,0.08799161,0.01,0.08356426,139287.286,21198.661099999998,94.3232996472313,89.5580438166557,86.93323448510284
1286582400,0.08319263,0.102,0.0700071,0.0938,187846.954,29948.400299999998,91.08695652173914,95.13675205632347,90.57870057260669
1286668800,0.093,0.1301,0.08281871,0.0965,50684.192,31767.212900000002,72.0233139050791,85.81119002468317,91.27053444626833
1286755200,0.091,0.10043667,0.091,0.095,14092.905,32185.06085,70.77435470441299,77.96154171041042,87.42938997553956
1286841600,0.094,0.0979989,0.083005,0.0949,25660.749,32890.0783,70.69109075770191,71.16291978906467,87.16601732416093
1286928000,0.092,0.105,0.092,0.105,47557.265,34492.675050000005,79.1007493755204,73.52206494587843,90.33335877799693
1287014400,0.1045,0.1045,0.09781739,0.102,37217.28,36319.32030000001,76.60283097418817,75.46489036913682,83.72387810282102
1287100800,0.1,0.1171692,0.09508294,0.105,24643.334,37443.86200000001,79.1007493755204,78.26810990840967,84.91269642785934
1287187200,0.1,0.10299,0.1,0.101,6284.708,37155.191150000006,75.77019150707744,77.15792395226202,76.85249410448796
1287273600,0.102,0.1045,0.10001,0.102,18222.191,37528.68845,76.60283097418817,77.15792395226202,77.4293172773649
1287360000,0.103,0.103,0.09968111,0.1024,25665.087,38457.63515,76.93588676103248,76.43630308076605,77.66902982192823
1287446400,0.1,0.1018,0.09706246,0.09706246,6235.1,37595.608049999995,72.49164029975022,75.34345267832363,67.38475744637478
1287532800,0.0985,0.10180516,0.094,0.099,31855,38792.506799999996,74.10491257285595,74.51081321121289,68.98993326505067
1287619200,0.0972,0.107,0.0971,0.107,44867,40949.9843,80.7660283097419,75.7875270607827,74.55771395268721
1287705600,0.1015,0.109,0.1015,0.10378125,34603.909,42027.1929,56.20322866761299,70.35805651673697,69.17604371744828
1287792000,0.10892846,0.109,0.104995,0.104995,4423.469,41889.7347,46.90288695591852,61.290714644424476,70.05383721641402
1287878400,0.108,0.19,0.108,0.11501,13800.23,40879.977750000005,29.91261273891304,44.339576120814854,76.10142721265285
1287964800,0.10499663,0.1707151,0.09009,0.132,30299.635,41018.62885,45.79185943268378,40.86911970917179,82.54241453550735
1288051200,0.133,0.179,0.133,0.1503,19219.125,40307.92,60.26423781403262,45.322903328543156,86.70024307814731
1288137600,0.151,0.19,0.151,0.1877,65605.872,41403.564549999996,97.6979281353218,67.91800846067942,91.27420538783115
1288224000,0.1845,0.19004863,0.1731,0.1731,21525.035,35515.452000000005,83.0443554498496,80.33550713306802,79.74456159804566
1288310400,0.17991525,0.19,0.173,0.19,28686.852,27557.4469,99.95134987344265,93.5645444862047,82.50018475095234
1288396800,0.1875438,0.1989,0.1875438,0.1989,26708.94,26358.6843,100,94.33190177443078,83.75367591116414
1288483200,0.194,0.1989,0.189,0.1925,40337.756,27670.92685,94.11818766657477,98.02317918000581,79.35197813586974
1288569600,0.1925,0.1951,0.17493601,0.19490179,21258.611,27450.819950000005,96.32551236099623,96.81456667585701,79.78142228136655
1288656000,0.192,0.1938,0.1905,0.1938,5853.394,25365.6264,95.31293079680178,95.25221027479093,78.97001494011967
